Topic,Difficulty,Exercise Description
TypeScript Variables Basics,Beginner,"Create variables using three different keywords. Assign values of different types to each. Investigate the differences when you try to reassign them. Reference: https://www.typescriptlang.org/docs/"
TypeScript Variables Basics,Beginner,"Declare variables and explicitly specify their types. Try to assign a wrong type value and observe what TypeScript tells you. Reference: https://www.typescriptlang.org/docs/"
TypeScript Variables Basics,Beginner,"Create a variable that cannot be changed after assignment. Try to reassign it and see what happens. Compare with other variable types. Reference: https://www.typescriptlang.org/docs/"
TypeScript Variables Basics,Intermediate,"Write code in different scopes (global, function, block). Find out where each variable is accessible and why some variables appear and disappear. Reference: https://www.typescriptlang.org/docs/"
TypeScript Variables Basics,Intermediate,"Create a counter using loops and increment it inside a code block. Investigate if that variable is accessible outside the block. Reference: https://www.typescriptlang.org/docs/"
TypeScript Variables Basics,Advanced,"Declare variables at different levels (global, function, block). Show how inner scopes access outer variables and what happens when you declare same-named variables at different levels. Reference: https://www.typescriptlang.org/docs/"
TypeScript Data Types,Beginner,"Create variables with different values (text, number, true/false). Find out what type each one is and how to check/discover the type in TypeScript. Reference: https://www.typescriptlang.org/docs/"
TypeScript Data Types,Beginner,"Build a simple calculator that adds two numbers. Try to pass wrong types (text instead of number) and see what TypeScript catches. Reference: https://www.typescriptlang.org/docs/"
TypeScript Data Types,Beginner,"Create text variables and combine them in different ways. Find the method to use values inside text without concatenation. Reference: https://www.typescriptlang.org/docs/"
TypeScript Data Types,Intermediate,"Create variables with different types. Use them in operations together and see what TypeScript allows or prevents. Reference: https://www.typescriptlang.org/docs/"
TypeScript Data Types,Intermediate,"Create functions that can handle different input types. Discover how TypeScript warns you about type mismatches. Reference: https://www.typescriptlang.org/docs/"
TypeScript Data Types,Advanced,"Build a validation system that checks if data matches expected types before processing. Show what happens with wrong types. Reference: https://www.typescriptlang.org/docs/"
TypeScript Enums,Beginner,"Create an enum that represents browser types with numeric values. Access specific enum values and print them. Reference: https://www.typescriptlang.org/docs/"
TypeScript Enums,Beginner,"Create an enum with string values representing different environments. Use enum values in a variable. Reference: https://www.typescriptlang.org/docs/"
TypeScript Enums,Beginner,"Create two different enums with different value types (one numeric, one string). Show what each represents. Reference: https://www.typescriptlang.org/docs/"
TypeScript Enums,Intermediate,"Create an enum with mixed configurations. Use those values to store and access application settings. Reference: https://www.typescriptlang.org/docs/"
TypeScript Enums,Intermediate,"Build a system using enums to represent different states or options. Access and use those values. Reference: https://www.typescriptlang.org/docs/"
TypeScript Enums,Advanced,"Create a complex enum-based system with multiple enums. Show how to work with enum values throughout code. Reference: https://www.typescriptlang.org/docs/"
TypeScript Objects,Beginner,"Create an object with multiple properties. Access each property and print them to console. Reference: https://www.typescriptlang.org/docs/"
TypeScript Objects,Beginner,"Create an object with nested objects. Access nested properties using dot notation. Reference: https://www.typescriptlang.org/docs/"
TypeScript Objects,Beginner,"Create a type that describes an object structure. Create an object matching that type. Reference: https://www.typescriptlang.org/docs/"
TypeScript Objects,Intermediate,"Create multiple objects and combine them together using spread operator. Show merged result. Reference: https://www.typescriptlang.org/docs/"
TypeScript Objects,Intermediate,"Create objects matching different type definitions. Show how TypeScript enforces type matching. Reference: https://www.typescriptlang.org/docs/"
TypeScript Objects,Advanced,"Build a system with typed objects that have nested structures. Show how types validate shape and content. Reference: https://www.typescriptlang.org/docs/"
TypeScript Arrays,Beginner,"Create an array and add items to it. Discover methods to add and remove items. Reference: https://www.typescriptlang.org/docs/"
TypeScript Arrays,Beginner,"Create arrays with specific types. See what happens when wrong types are added. Reference: https://www.typescriptlang.org/docs/"
TypeScript Arrays,Beginner,"Iterate over arrays in different ways. Discover various patterns for looping. Reference: https://www.typescriptlang.org/docs/"
TypeScript Arrays,Intermediate,"Create arrays and loop through them using for-of loops. Discover how to access each element. Reference: https://www.typescriptlang.org/docs/"
TypeScript Arrays,Intermediate,"Build functions that work with arrays. Add items, remove items, and check array lengths. Reference: https://www.typescriptlang.org/docs/"
TypeScript Arrays,Advanced,"Create typed arrays and use multiple push/pop operations. Show how TypeScript enforces consistent types. Reference: https://www.typescriptlang.org/docs/"
TypeScript Strings,Beginner,"Work with text and discover methods to combine strings and change their case. Reference: https://www.typescriptlang.org/docs/"
TypeScript Strings,Beginner,"Create dynamic strings that combine variables with text. Discover a special syntax for this. Reference: https://www.typescriptlang.org/docs/"
TypeScript Strings,Beginner,"Search within strings to find specific text or patterns. Discover different search methods. Reference: https://www.typescriptlang.org/docs/"
TypeScript Strings,Intermediate,"Build utilities that transform and manipulate strings. Find methods to split, join, and clean text. Reference: https://www.typescriptlang.org/docs/"
TypeScript Strings,Intermediate,"Validate string patterns without regex. Discover methods to check what a string contains. Reference: https://www.typescriptlang.org/docs/"
TypeScript Strings,Advanced,"Build a string processing system that validates and transforms text data. Reference: https://www.typescriptlang.org/docs/"
TypeScript Functions Basics,Beginner,"Write a function that takes input values and produces output. Find how to specify what types go in and what type comes out. Reference: https://www.typescriptlang.org/docs/"
TypeScript Functions Basics,Beginner,"Create functions where some parameters might not always be provided. Discover how to make parameters optional and what default values do. Reference: https://www.typescriptlang.org/docs/"
TypeScript Functions Basics,Beginner,"Write functions in two different ways (traditional and arrow syntax). Compare the differences and find when to use each. Reference: https://www.typescriptlang.org/docs/"
TypeScript Functions Basics,Intermediate,"Create multiple functions with different input and output types. Find how TypeScript helps when you pass wrong types to functions. Reference: https://www.typescriptlang.org/docs/"
TypeScript Functions Basics,Intermediate,"Create arrow functions and regular functions side by side. Show they work the same and compare their syntax. Reference: https://www.typescriptlang.org/docs/"
